"ACCESS-ESM1-5","CanESM5","CESM2","GFDL-ESM4","IPSL-CM6A-LR","MIROC-ES2L","MPI-ESM1-2-LR","NorESM2-LM","UKESM1-0-LL"
957.367358013186,1824.10643929511,1957.50070870553,739.323391308926,776.623597356535,1840.75178001764,1195.05689432471,2681.99860448035,1942.74982387822
957.787231617847,1830.46868301632,1959.23286574785,739.666470152701,777.600638907168,1844.68202154687,1196.96290728139,2683.40021972835,1945.33327729935
958.439863705823,1835.59499076428,1961.23048089336,742.727151986255,779.115444637703,1850.33765598084,1199.90012725463,2684.80340784848,1946.91117686767
959.111895193077,1840.22364511308,1963.0474347033,747.737248265831,780.431088328869,1856.30937856264,1203.24112617697,2686.45337293016,1949.17932440856
959.651570380434,1845.20674582024,1964.90606656939,752.23479486829,781.500966235262,1861.27790268807,1206.00038609397,2687.72538467701,1951.73593231827
960.082316274605,1850.83364384572,1966.38467887325,753.765964693537,782.905281896499,1866.21923893261,1208.09031195183,2688.51479950596,1953.74714174559
960.399704003733,1856.8161613374,1967.36120499702,756.500587390577,784.106697732827,1871.26136727757,1209.50492457139,2689.8458046465,1956.61230007594
961.255974134666,1862.35590990749,1969.01332777959,761.992184951098,785.032190267412,1876.45123378255,1210.69487829787,2691.48609075184,1959.12294031851
961.82644876583,1868.45007980272,1970.86839041583,765.514561258006,786.538186652446,1880.91877390534,1212.14302798795,2693.3150633303,1962.24213117785
962.037741451582,1874.23842682096,1972.50525733841,769.247273728336,787.532446136194,1885.76521965327,1214.08682818265,2695.02242717828,1964.77323661002
962.582051145628,1879.48597971157,1974.02463982953,773.730875771564,788.376334178218,1890.93809823316,1215.74820368778,2696.35188756004,1967.11692422499
